Round Number,Home Team,Away Team,Result,Winner,Home Goals,Away Goals
1,Paris Saint-Germain,Arsenal,1 - 1,Draw,,
1,FC Basel,Ludogorets Razgrad,1 - 1,Draw,,
1,Bayern Munich,Rostov,5 - 0,Bayern Munich,,
1,Benfica,Besiktas,1 - 1,Draw,,
1,Celtic,FC Barcelona,0 - 7,Barcelona,,
1,Dynamo Kyiv,Napoli,1 - 2,Napoli,,
1,PSV,Atletico de Madrid,0 - 1,Atlético Madrid,,
1,Borussia Mönchengladbach,Manchester City,0 - 4,Manchester City,,
1,Arsenal,FC Basel,2 - 0,Arsenal,,
1,Ludogorets Razgrad,Paris Saint-Germain,1 - 3,Paris Saint-Germain,,
1,Manchester City,Celtic,1 - 1,Draw,,
1,FC Barcelona,Borussia Mönchengladbach,4 - 0,Barcelona,,
1,Atletico de Madrid,Bayern Munich,1 - 0,Atlético Madrid,,
1,Besiktas,Dynamo Kyiv,1 - 1,Draw,,
1,Napoli,Benfica,4 - 2,Napoli,,
1,Rostov,PSV,2 - 2,Draw,,
1,Paris Saint-Germain,Arsenal,1 - 1,Draw,,
1,Ludogorets Razgrad,FC Basel,1 - 3,Basel,,
1,Bayern Munich,PSV,4 - 1,Bayern Munich,,
1,Manchester City,FC Barcelona,3 - 1,Manchester City,,
1,Arsenal,Ludogorets Razgrad,6 - 0,Arsenal,,
1,FC Basel,Paris Saint-Germain,1 - 2,Paris Saint-Germain,,
1,PSV,Bayern Munich,1 - 2,Bayern Munich,,
1,FC Barcelona,Manchester City,4 - 0,Barcelona,,
1,Besiktas,Napoli,1 - 1,Draw,,
1,Dynamo Kyiv,Benfica,0 - 2,Benfica,,
1,Celtic,Rostov,0 - 0,Draw,,
2,Atletico de Madrid,Rostov,2 - 1,Atlético Madrid,,
2,Borussia Mönchengladbach,FC Barcelona,1 - 2,Barcelona,,
2,Arsenal,Ludogorets Razgrad,6 - 0,Arsenal,,
2,PSV,Bayern Munich,1 - 2,Bayern Munich,,
2,Dynamo Kyiv,Besiktas,6 - 0,Dynamo Kyiv,,
2,Napoli,Benfica,4 - 2,Napoli,,
2,Celtic,Manchester City,3 - 3,Draw,,
2,Paris Saint-Germain,FC Basel,3 - 0,Paris Saint-Germain,,
2,Rostov,Atletico de Madrid,0 - 1,Atlético Madrid,,
2,Ludogorets Razgrad,Arsenal,2 - 3,Arsenal,,
2,FC Barcelona,Manchester City,4 - 0,Barcelona,,
2,Bayern Munich,PSV,4 - 1,Bayern Munich,,
2,Benfica,Dynamo Kyiv,1 - 0,Benfica,,
2,FC Basel,Paris Saint-Germain,1 - 2,Paris Saint-Germain,,
2,Besiktas,Napoli,1 - 1,Draw,,
2,Manchester City,Celtic,1 - 1,Draw,,
2,Rostov,Borussia Mönchengladbach,2 - 2,Draw,,
3,Dynamo Kyiv,Benfica,0 - 2,Benfica,,
3,Besiktas,Napoli,1 - 1,Draw,,
3,Borussia Mönchengladbach,Celtic,1 - 1,Draw,,
3,FC Barcelona,Paris Saint-Germain,4 - 0,Barcelona,,
3,Arsenal,Paris Saint-Germain,2 - 2,Draw,,
3,CSKA Moscow,Bayer Leverkusen,1 - 1,Draw,,
3,Ludogorets Razgrad,FC Basel,0 - 0,Draw,,
3,Napoli,Besiktas,0 - 0,Draw,,
3,Atletico de Madrid,PSV,2 - 0,Atlético Madrid,,
3,Benfica,Dynamo Kyiv,1 - 0,Benfica,,
3,Bayer Leverkusen,CSKA Moscow,1 - 1,Draw,,
3,Paris Saint-Germain,Arsenal,1 - 1,Draw,,
3,FC Basel,Ludogorets Razgrad,1 - 1,Draw,,
3,Celtic,FC Barcelona,0 - 2,Barcelona,,
3,Manchester City,Borussia Mönchengladbach,1 - 1,Draw,,
3,PSV,Atletico de Madrid,0 - 1,Atlético Madrid,,
3,Rostov,Bayern Munich,3 - 2,Rostov,,
4,Bayern Munich,PSV,4 - 1,Bayern Munich,,
4,Atletico de Madrid,Rostov,2 - 1,Atlético Madrid,,
4,Ludogorets Razgrad,Arsenal,2 - 3,Arsenal,,
4,FC Basel,Paris Saint-Germain,1 - 2,Paris Saint-Germain,,
4,Borussia Mönchengladbach,Celtic,1 - 1,Draw,,
4,FC Barcelona,Manchester City,4 - 0,Barcelona,,
4,Bayer Leverkusen,CSKA Moscow,1 - 1,Draw,,
4,Dynamo Kyiv,Besiktas,6 - 0,Dynamo Kyiv,,
4,Napoli,Benfica,4 - 2,Napoli,,
4,Manchester City,FC Barcelona,3 - 1,Manchester City,,
4,PSV,Bayern Munich,1 - 2,Bayern Munich,,
4,Atletico de Madrid,Rostov,2 - 1,Atlético Madrid,,
4,Paris Saint-Germain,FC Basel,2 - 1,Paris Saint-Germain,,
4,Arsenal,Ludogorets Razgrad,6 - 0,Arsenal,,
4,Celtic,Borussia Mönchengladbach,0 - 2,Borussia Mönchengladbach,,
4,CSKA Moscow,Bayer Leverkusen,1 - 1,Draw,,
4,Benfica,Dynamo Kyiv,1 - 0,Benfica,,
4,Besiktas,Napoli,1 - 1,Draw,,
5,Paris Saint-Germain,Arsenal,1 - 1,Draw,,
5,FC Basel,Ludogorets Razgrad,1 - 1,Draw,,
5,Bayern Munich,PSV,4 - 1,Bayern Munich,,
5,Benfica,Besiktas,1 - 1,Draw,,
5,Celtic,FC Barcelona,0 - 7,Barcelona,,
5,Dynamo Kyiv,Napoli,1 - 2,Napoli,,
5,PSV,Atletico de Madrid,0 - 1,Atlético Madrid,,
5,Borussia Mönchengladbach,Manchester City,0 - 4,Manchester City,,
5,Arsenal,FC Basel,2 - 0,Arsenal,,
5,Ludogorets Razgrad,Paris Saint-Germain,1 - 3,Paris Saint-Germain,,
5,Manchester City,Celtic,1 - 1,Draw,,
5,FC Barcelona,Borussia Mönchengladbach,4 - 0,Barcelona,,
5,Atletico de Madrid,Bayern Munich,1 - 0,Atlético Madrid,,
5,Besiktas,Dynamo Kyiv,1 - 1,Draw,,
5,Napoli,Benfica,4 - 2,Napoli,,
5,PSV,Rostov,0 - 0,Draw,,
6,Atletico de Madrid,Rostov,2 - 1,Atlético Madrid,,
6,Borussia Mönchengladbach,FC Barcelona,1 - 2,Barcelona,,
6,Arsenal,Ludogorets Razgrad,6 - 0,Arsenal,,
6,PSV,Bayern Munich,1 - 2,Bayern Munich,,
6,Dynamo Kyiv,Besiktas,6 - 0,Dynamo Kyiv,,
6,Napoli,Benfica,4 - 2,Napoli,,
6,Celtic,Manchester City,3 - 3,Draw,,
6,Paris Saint-Germain,FC Basel,3 - 0,Paris Saint-Germain,,
6,Rostov,Atletico de Madrid,0 - 1,Atlético Madrid,,
6,Ludogorets Razgrad,Arsenal,2 - 3,Arsenal,,
6,FC Barcelona,Manchester City,4 - 0,Barcelona,,
6,Bayern Munich,PSV,4 - 1,Bayern Munich,,
6,Benfica,Dynamo Kyiv,1 - 0,Benfica,,
6,FC Basel,Paris Saint-Germain,1 - 2,Paris Saint-Germain,,
6,Besiktas,Napoli,1 - 1,Draw,,
6,Manchester City,Celtic,1 - 1,Draw,,
6,Borussia Mönchengladbach,Rostov,2 - 2,Draw,,
Round of 16 - Game 1,Paris Saint-Germain,FC Barcelona,4 - 0,Paris Saint-Germain,,
Round of 16 - Game 1,Benfica,Borussia Dortmund,1 - 0,Benfica,,
Round of 16 - Game 1,Bayern Munich,Arsenal,5 - 1,Bayern Munich,,
Round of 16 - Game 1,Real Madrid,Napoli,3 - 1,Real Madrid,,
Round of 16 - Game 1,Manchester City,AS Monaco,5 - 3,Manchester City,,
Round of 16 - Game 1,Bayer Leverkusen,Atletico de Madrid,2 - 4,Atlético Madrid,,
Round of 16 - Game 1,FC Porto,Juventus,0 - 2,Juventus,,
Round of 16 - Game 1,Sevilla,Leicester City,2 - 1,Sevilla,,
Round of 16 - Game 2,FC Barcelona,Paris Saint-Germain,6 - 1,Barcelona,,
Round of 16 - Game 2,Borussia Dortmund,Benfica,4 - 0,Borussia Dortmund,,
Round of 16 - Game 2,Arsenal,Bayern Munich,1 - 5,Bayern Munich,,
Round of 16 - Game 2,Napoli,Real Madrid,1 - 3,Real Madrid,,
Round of 16 - Game 2,AS Monaco,Manchester City,3 - 1,AS Monaco,,
Round of 16 - Game 2,Atletico de Madrid,Bayer Leverkusen,0 - 0,Draw,,
Round of 16 - Game 2,Juventus,FC Porto,1 - 0,Juventus,,
Round of 16 - Game 2,Leicester City,Sevilla,2 - 0,Leicester City,,
Qtr Finals - Game 1,Atletico de Madrid,Leicester City,1 - 0,Atletico Madrid,,
Qtr Finals - Game 1,Bayern Munich,Real Madrid,1 - 2,Real Madrid,,
Qtr Finals - Game 1,Borussia Dortmund,AS Monaco,2 - 3,AS Monaco,,
Qtr Finals - Game 1,Juventus,FC Barcelona,3 - 0,Juventus,,
Qtr Finals - Game 2,Leicester City,Atletico de Madrid,1 - 1,Atletico Madrid,,
Qtr Finals - Game 2,Real Madrid,Bayern Munich,4 - 2,Real Madrid,,
Qtr Finals - Game 2,AS Monaco,Borussia Dortmund,3 - 1,AS Monaco,,
Qtr Finals - Game 2,FC Barcelona,Juventus,0 - 0,Draw,,
Semi Finals - Game 1,Real Madrid,Atletico de Madrid,3 - 0,Real Madrid,,
Semi Finals - Game 1,AS Monaco,Juventus,0 - 2,Juventus,,
Semi Finals - Game 2,Atletico de Madrid,Real Madrid,2 - 1,Real Madrid,,
Semi Finals - Game 2,Juventus,AS Monaco,2 - 1,Juventus,,
Final,Juventus,Real Madrid,1 - 4,Real Madrid,,
